ObjectId,Year,Fund,Workgroup,Organization,Program,Program_Summary,Amount_Requested,Amount_Funded,Amount_Spent
862,2010,GF,HSF,Boulder Outreach for Homeless Overflow,Emergency Warming Centers,,,5000,
1262,2002,GF,HSF,Clinica Campesina Family Health Care Services,Maternity Program,,,30224,
1930,1997,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Counseling and Advocacy Services,,,27500,
560,2013,GF,CEF,Village Arts Coalition,International Festival,,1600,1600,
870,2009,GF,YOP,Boulder Museum of Contemporary Art,Engage & Reflect:  The Studio Project,,-12500,9400,
377,2016,GF,HSF,Boulder Institute for Psychotherapy and Research (DBA InReach),Early Childhood Program,"Home visits, parenting classes, therapeutic kids' skill-building group, single parent support",25000,15000,
1589,2003,GF,HSF,BV Women's Health Center,Youth Program,,,17902,
820,2010,GF,YOP,Courage is Change,Red Tent Clubs,,12400,0,0
1823,1996,GF,HSF,Mental Health Partners,MESA Prevention Education,,,29067,
514,2015,GF,YOP,Growing Gardens,Cultiva Youth Project,"Provide stipends to involve diverse teenagers in organic gardening as a means to teach sustainable agriculture, leadership, entrepreneurial and life skills.",15000,7250,
584,2012,GF,HSF,Clinica Campesina Family Health Care Services,Primary Health Care for Low-Income,,,350000,
966,2011,GF,HSF,Attention Homes,Broadway Youth Shelter,,,19604,
440,2015,GF,CEF,Postoley Dance Ensemble,Folk Dancing on the Plaza,,1650,1650,
552,2014,GF,HSF,Mother House,Mother House,,,10000,
1422,2005,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Outreach and Increased Access,,,7352,
534,2012,GF,HSF,Boulder Shelter for the Homeless,Boulder County Cares,,,15000,
35,2019,GF,HSF,Foothills United Way (FHUW),Volunteer Connection,Connects volunteers with community organizations offering volunteer opportunities,15000,0,0
781,2013,GF,YOP,Boulder High School,Youth Radio and Radio Arts,,14995,0,0
1003,2008,GF,HSF,New Horizons Cooperative Preschool,Bilingual Education,,,42000,39249
475,2014,GF,HSF,Community Food Share,Food Procurement and Distribution,,,5000,4786
1034,2011,GF,HSF,Boulder Outreach for Homeless Overflow,Emergency Warming Centers,,,11027,9992
642,2014,GF,CEF,Boulder Asian Pacific Alliance (BAPA),Annual Boulder Asian Festival,,1600,1600,1540000
631,2014,GF,HSF,Voices for Children,Court Appointed Special Advocates (CASA),,,5000,4949
358,2016,GF,CIF,Via Mobility,25 Stories,,1000,1000,979
1096,2008,GF,YOP,Peers Building Justice Program (PBJ),Teen Dating Violence Awareness,,5215.05,0,0
528,2013,GF,CEF,Boulder Jewish Festival,Boulder Jewish Festival,,1600,1600,1566
638,2012,GF,CEF,Postoley Dance Ensemble,Folk Dancing on the Plaza,,1500,1500,1371
554,2015,GF,YOP,Out Boulder County,Out Youth Program,"Offer leadership development and community building through funding staff and supplies for art and activism for lesbian, gay, bisexual, transgender, queer and allied youth.",7326,7326,7072
903,2012,GF,YOP,MUSE Incorporated,Visual Voices:  Art classes and public art show for the under-served and LGBT middle school youth,Art classes for students in Manhattan's Allies Group (essentially a GSA),8466,0,0
251,2018,GF,YOP,Casey Middle School,Folklorico Dance Group,"Casey Middle School's Folklorico Dance Group, which learns and performs Mexican folk dance, will expand to create an after-school program for students in grades 6-12.",12492.02,,0
38,2019,GF,HSF,Immigrant Legal Center of Boulder County,Immigrant Legal Center of Boulder County,Legal services w/focus on immigration & citizenship,30000,30000,28546
464,2014,GF,YOP,Out Boulder County,Boulder Out Leadership Development,"Offer leadership development and community building through art and activism for lesbian, gay, bisexual, transgender, queer and allied youth.",7100,7100,7050
1900,1997,GF,HSF,Boulder County AIDS Project,HIV Care Services,"Comprehensive HIV medical case mgmt, testing & counseling, health insurance access, housing & food",,20500,20477
1186,2009,GF,HSF,Mental Health Partners,Circulo de la Vida Familiar,,,67645,66125
1834,1999,GF,HSF,City of Boulder Children Youth and Families,Boulder County Prevention and Intervention,,,46323,45675
1256,2001,GF,HSF,BV Women's Health Center,Family Planning and Gyn,,,63864,59708
340,2017,GF,HRF,Barrio E,Multicultural Dialogues Series,,3000,0,0
1845,1999,GF,HSF,Dental Aid,Preschool Virtual Dental Home,,,2500,2453
394,2016,GF,HSF,Emergency Family Assistance Association,Basic Needs & Shelter Program,"Food pantry, short term & transitional housing, financial assistance & mgmt, case mgmt",155000,125000,122772
463,2015,GF,HSF,Boulder County AIDS Project,HIV Care Services,"Comprehensive HIV medical case mgmt, testing & counseling, health insurance access, housing & food",,25000,22840
543,2013,GF,YOP,Wildlands Restoration Volunteers,Youth Stewardship Program,"Support the Youth Steering Committee, High School Crew Leader Training and projects involving youth in outdoor stewardship and restoration.",14860,0,0
48,2019,GF,HSF,Sister Carmen Community Center,Bridging Digital Divides,"Skill building in utilizing digital devices and navigating the online ecosystem, and access to necessary devices and the internet",38367,10000,9867
1073,2010,GF,HSF,Voices for Children,Court Appointed Special Advocates (CASA),,,5000,4619
158,2019,HEF,HEF,Growe Foundation,Growe Garden to Table Programs for At-Risk Boulder Elementary School Students,"Funding will provide food and gardening bilingual educational materials, teacher training and support, and school garden coordination for children at city elementary schools.",53993,27000,25099
1440,2002,GF,HSF,Mental Health Partners,Psychiatric Emergency and Adult Services,,,158804,156420
581,2012,GF,HSF,Children First of the Rockies,SAFE Services,,,7216,7199
171,2017,GF,YOP,New Vista High School,Empowering Teens,"Provide education and safe space for youth to seek healthy alternatives to drugs and alcohol. Support staffing and supplies for community-wide youth events, drop-in workshops and classes at New Vista High School.",14910,14910,13664
380,2016,GF,HSF,Boulder Shelter for the Homeless,Sheltering Programs,"Emergency, transitional & permanent supporting housing, case mgmt. & other basic needs; basic needs outreach",130000,120000,115367
987,2008,GF,HSF,Dental Aid,Adult Assured Access,,,66000,61089
1219,2005,GF,HSF,Access Counseling (formerly The Counseling Center),Individual Counseling,,,19507,18172
923,2012,GF,YOP,Parlando School For The Arts,Music Education Accessibility Project,"Train high school students to teach music to students on tuition assistance, provide tuition assistance and advanced instruction at Boulder High School and Casey Middle School band students by subsidizing the cost of professional instructors.",13175,6588,6490
1132,2011,GF,YOP,Boulder County Partners,Mentoring Program,,17000,15450,14926
893,2009,GF,YOP,Boulder Valley School District,Gateway Drug Peer Education Program,,14203,0,0
1638,1998,GF,HSF,Center for People with Disabilities (CPWD),Home Care,,,11000,10616
833,2010,GF,YOP,New Vista High School,Natural Highs - Healthy Alternatives to Drugs  & Alcohol,"Provide education and safe space for youth to seek healthy alternatives to drugs and alcohol.  Support staffing and supplies for community-wide youth events, drop-in workshops and classes at New Vista High School.",13083,0,0
602,2012,GF,HSF,Mental Health Partners,Community Infant Program,,,62982,59749
877,2009,GF,YOP,Boulder Valley Career & Technical Education Center,BVC-TEC Leadership Immersion,,12052,0,0
1137,2007,GF,HSF,Boulder Day Nursery,Toddler and Preschool Early Learning,,,26995,25051
1757,2000,GF,HSF,Community Food Share,Food Procurement and Distribution,,,32517,30487
52,2019,HEF,HEF,Safehouse Progressive Alliance for Nonviolence,Foodservice Equity Initiative,"Funding will be used to staff a new kitchen manager at the domestic violence emergency shelter, to provide healthy meals (fresh produce, healthy proteins), nutrition and healthy eating programs for shelter residents.",47000,44000,40981
231,2018,GF,HSF,YWCA,Latina Achievement Support,During and after school programming for Latinas,11250,11250,11181
926,2008,GF,HSF,Boulder Shelter for the Homeless,Winter Shelter & Transition Programs,,,62294,58998
1890,1995,GF,HSF,Boulder County Legal Services,Critical Legal Services for Low-Income Residents,"Free safety net legal services for clients with legal emergencies that affect their basic needs, safety, and stability.",,26500,24023
